"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - март 2017 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_11","Всего разыскивалось лиц",25940
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",12814
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",12802
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",4683
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",2312
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",2174
"Центральный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",5970
"Центральный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",312
"Центральный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-21.81063634
"Центральный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-19.38996139
"Белгородская область","3_11","Всего разыскивалось лиц",621
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",264
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",353
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске",273
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",83
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",186
"Белгородская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",70
"Белгородская область","3_11","Всего прекращено дел в связи с установлением личности",0
"Белгородская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-30.91603053
"Белгородская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.239130435
"Брянская область","3_11","Всего разыскивалось лиц",785
"Брянская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",259
"Брянская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",523
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске",273
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",73
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",198
"Брянская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",54
"Брянская область","3_11","Всего прекращено дел в связи с установлением личности",4
"Брянская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-44.27710843
"Брянская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-29.71800434
"Владимирская область","3_11","Всего разыскивалось лиц",909
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",397
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",509
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске",136
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",113
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",23
"Владимирская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",116
"Владимирская область","3_11","Всего прекращено дел в связи с установлением личности",9
"Владимирская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-44.921875
"Владимирская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-29.26470588
"Воронежская область","3_11","Всего разыскивалось лиц",1081
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",375
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",651
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске",434
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",108
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",277
"Воронежская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",164
"Воронежская область","3_11","Всего прекращено дел в связи с установлением личности",7
"Воронежская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-16.24203822
"Воронежская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",2.83286119
"Ивановская область","3_11","Всего разыскивалось лиц",591
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",269
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",287
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске",91
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",84
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",6
"Ивановская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",77
"Ивановская область","3_11","Всего прекращено дел в связи с установлением личности",4
"Ивановская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-47.27793696
"Ивановская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-13.04347826
"Калужская область","3_11","Всего разыскивалось лиц",797
"Калужская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",477
"Калужская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",307
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске",154
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",140
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",8
"Калужская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",119
"Калужская область","3_11","Всего прекращено дел в связи с установлением личности",3
"Калужская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-19.61722488
"Калужская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-25.19083969
"Костромская область","3_11","Всего разыскивалось лиц",373
"Костромская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",121
"Костромская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",252
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске",41
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",36
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",5
"Костромская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",27
"Костромская область","3_11","Всего прекращено дел в связи с установлением личности",2
"Костромская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-53.84615385
"Костромская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.191176471
"Курская область","3_11","Всего разыскивалось лиц",694
"Курская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",281
"Курская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",410
"Курская область","3_11","Установлено лиц из числа находившихся в розыске",356
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",127
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",226
"Курская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",33
"Курская область","3_11","Всего прекращено дел в связи с установлением личности",3
"Курская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-52.8125
"Курская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-32.33082707
"Липецкая область","3_11","Всего разыскивалось лиц",433
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",239
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",193
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске",91
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",81
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",10
"Липецкая область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",58
"Липецкая область","3_11","Всего прекращено дел в связи с установлением личности",0
"Липецкая область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-36.09958506
"Липецкая область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-26.82926829
"г. Москва","3_11","Всего разыскивалось лиц",8237
"г. Москва","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",5214
"г. Москва","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",2872
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске",860
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",537
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",235
"г. Москва","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2127
"г. Москва","3_11","Всего прекращено дел в связи с установлением личности",174
"г. Москва","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",17.13483146
"г. Москва","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",4.403522818
"Московская область","3_11","Всего разыскивалось лиц",5945
"Московская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3027
"Московская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",2915
"Московская область","3_11","Установлено лиц из числа находившихся в розыске",467
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",381
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",84
"Московская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2340
"Московская область","3_11","Всего прекращено дел в связи с установлением личности",78
"Московская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-29.25209356
"Московская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-27.05542422
"Орловская область","3_11","Всего разыскивалось лиц",469
"Орловская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",272
"Орловская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",197
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске",87
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",61
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",26
"Орловская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",56
"Орловская область","3_11","Всего прекращено дел в связи с установлением личности",2
"Орловская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-27.93103448
"Орловская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-15.5
"Рязанская область","3_11","Всего разыскивалось лиц",528
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",214
