"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - июнь 2016 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_11","Всего разыскивалось лиц",32677
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",15982
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",15970
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",10606
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",5342
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",4669
"Центральный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",7303
"Центральный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",708
"Центральный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-19.86205828
"Центральный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-14.34291098
"Белгородская область","3_11","Всего разыскивалось лиц",1002
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",391
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",606
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске",655
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",213
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",437
"Белгородская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",139
"Белгородская область","3_11","Всего прекращено дел в связи с установлением личности",22
"Белгородская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-32.0610687
"Белгородская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.692307692
"Брянская область","3_11","Всего разыскивалось лиц",1163
"Брянская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",434
"Брянская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",719
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске",583
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",206
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",368
"Брянская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",76
"Брянская область","3_11","Всего прекращено дел в связи с установлением личности",16
"Брянская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-28.6163522
"Брянская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-25.93406593
"Владимирская область","3_11","Всего разыскивалось лиц",1186
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",621
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",554
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске",321
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",289
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",27
"Владимирская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",150
"Владимирская область","3_11","Всего прекращено дел в связи с установлением личности",18
"Владимирская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-35.15151515
"Владимирская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-22.20543807
"Воронежская область","3_11","Всего разыскивалось лиц",1810
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",445
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1167
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске",1161
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",177
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",790
"Воронежская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",173
"Воронежская область","3_11","Всего прекращено дел в связи с установлением личности",11
"Воронежская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-19.45288754
"Воронежская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",7.624633431
"Ивановская область","3_11","Всего разыскивалось лиц",846
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",469
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",310
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске",320
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",250
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",23
"Ивановская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",93
"Ивановская область","3_11","Всего прекращено дел в связи с установлением личности",9
"Ивановская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-41.2568306
"Ивановская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.79365079
"Калужская область","3_11","Всего разыскивалось лиц",1003
"Калужская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",641
"Калужская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",338
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске",341
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",303
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",21
"Калужская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",165
"Калужская область","3_11","Всего прекращено дел в связи с установлением личности",12
"Калужская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-18.29268293
"Калужская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-20.36553525
"Костромская область","3_11","Всего разыскивалось лиц",466
"Костромская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",199
"Костромская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",266
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске",116
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",100
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",15
"Костромская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",35
"Костромская область","3_11","Всего прекращено дел в связи с установлением личности",1
"Костромская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-46.32768362
"Костромская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-6.439393939
"Курская область","3_11","Всего разыскивалось лиц",1120
"Курская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",423
"Курская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",667
"Курская область","3_11","Установлено лиц из числа находившихся в розыске",753
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",246
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",477
"Курская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",37
"Курская область","3_11","Всего прекращено дел в связи с установлением личности",4
"Курская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-44.05144695
"Курская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-28.07692308
"Липецкая область","3_11","Всего разыскивалось лиц",535
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",322
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",213
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске",154
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",145
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",9
"Липецкая область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",63
"Липецкая область","3_11","Всего прекращено дел в связи с установлением личности",1
"Липецкая область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-28.27868852
"Липецкая область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-19.26229508
"г. Москва","3_11","Всего разыскивалось лиц",8859
"г. Москва","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",5501
"г. Москва","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3121
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске",1648
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1078
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",414
"г. Москва","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2687
"г. Москва","3_11","Всего прекращено дел в связи с установлением личности",372
"г. Москва","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",12.16392587
"г. Москва","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",6.86746988
"Московская область","3_11","Всего разыскивалось лиц",6863
"Московская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3559
"Московская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3297
"Московская область","3_11","Установлено лиц из числа находившихся в розыске",1049
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",856
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",187
"Московская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2744
"Московская область","3_11","Всего прекращено дел в связи с установлением личности",158
"Московская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-24.93483927
"Московская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-20.03209414
"Орловская область","3_11","Всего разыскивалось лиц",612
"Орловская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",395
"Орловская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",216
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске",213
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",171
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",41
"Орловская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",71
"Орловская область","3_11","Всего прекращено дел в связи с установлением личности",7
"Орловская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-23.52941176
"Орловская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-12.30769231
"Рязанская область","3_11","Всего разыскивалось лиц",658
