"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - сентябрь 2016 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_11","Всего разыскивалось лиц",38171
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",18644
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",18556
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",15437
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",7478
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",7124
"Центральный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",7695
"Центральный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",1021
"Центральный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-19.24398625
"Центральный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-15.70138565
"Белгородская область","3_11","Всего разыскивалось лиц",1324
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",513
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",804
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске",935
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",294
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",634
"Белгородская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",144
"Белгородская область","3_11","Всего прекращено дел в связи с установлением личности",26
"Белгородская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-13.43873518
"Белгородская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-15.8974359
"Брянская область","3_11","Всего разыскивалось лиц",1514
"Брянская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",565
"Брянская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",936
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске",912
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",322
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",578
"Брянская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",85
"Брянская область","3_11","Всего прекращено дел в связи с установлением личности",26
"Брянская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-25.80645161
"Брянская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-27.03862661
"Владимирская область","3_11","Всего разыскивалось лиц",1340
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",751
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",576
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске",471
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",413
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",49
"Владимирская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",172
"Владимирская область","3_11","Всего прекращено дел в связи с установлением личности",31
"Владимирская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-37.93774319
"Владимирская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-24.81426449
"Воронежская область","3_11","Всего разыскивалось лиц",2307
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",551
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1509
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске",1630
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",267
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1120
"Воронежская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",181
"Воронежская область","3_11","Всего прекращено дел в связи с установлением личности",16
"Воронежская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-19.46902655
"Воронежская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",7.692307692
"Ивановская область","3_11","Всего разыскивалось лиц",1014
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",592
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",331
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске",471
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",361
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",40
"Ивановская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",103
"Ивановская область","3_11","Всего прекращено дел в связи с установлением личности",15
"Ивановская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-37.32193732
"Ивановская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-11.74603175
"Калужская область","3_11","Всего разыскивалось лиц",1180
