"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2017 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_11","Всего разыскивалось лиц",42356
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",21208
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",20006
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",19237
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",8968
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",9242
"Центральный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",6996
"Центральный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",1213
"Центральный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-20.47716628
"Центральный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-21.4023294
"Белгородская область","3_11","Всего разыскивалось лиц",1548
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",498
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1038
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске",1180
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",306
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",862
"Белгородская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",84
"Белгородская область","3_11","Всего прекращено дел в связи с установлением личности",13
"Белгородская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-20.33195021
"Белгородская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.608695652
"Брянская область","3_11","Всего разыскивалось лиц",1678
"Брянская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",503
"Брянская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1161
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске",1178
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",323
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",842
"Брянская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",79
"Брянская область","3_11","Всего прекращено дел в связи с установлением личности",23
"Брянская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-48.61538462
"Брянская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-35.18123667
"Владимирская область","3_11","Всего разыскивалось лиц",1319
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",744
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",557
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске",543
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",465
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",65
"Владимирская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",136
"Владимирская область","3_11","Всего прекращено дел в связи с установлением личности",29
"Владимирская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-47.55381605
"Владимирская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-31.48425787
"Воронежская область","3_11","Всего разыскивалось лиц",2861
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",679
