"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - июнь 2015 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_11","Всего разыскивалось лиц",33992
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",16481
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",16806
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",10927
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",5529
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",4823
"Центральный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",15989
"Центральный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",916
"Центральный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-16.79324241
"Центральный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.258753336
"Белгородская область","3_11","Всего разыскивалось лиц",976
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",377
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",589
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске",633
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",207
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",416
"Белгородская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",171
"Белгородская область","3_11","Всего прекращено дел в связи с установлением личности",41
"Белгородская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-35.11450382
"Белгородская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-6.043956044
"Брянская область","3_11","Всего разыскивалось лиц",1411
"Брянская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",480
"Брянская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",929
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске",758
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",229
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",528
"Брянская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",108
"Брянская область","3_11","Всего прекращено дел в связи с установлением личности",39
"Брянская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-23.58490566
"Брянская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-13.84615385
"Владимирская область","3_11","Всего разыскивалось лиц",1248
