"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - март 2016 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_11","Всего разыскивалось лиц",27196
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",13423
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",13388
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",5161
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",2811
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",2087
"Центральный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",6849
"Центральный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",369
"Центральный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-19.95081463
"Центральный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-14.29343629
"Белгородская область","3_11","Всего разыскивалось лиц",694
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",288
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",405
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске",341
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",107
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",234
"Белгородская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",133
"Белгородская область","3_11","Всего прекращено дел в связи с установлением личности",16
"Белгородская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-30.91603053
"Белгородская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.608695652
"Брянская область","3_11","Всего разыскивалось лиц",872
"Брянская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",332
"Брянская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",534
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске",293
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",111
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",178
"Брянская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",69
"Брянская область","3_11","Всего прекращено дел в связи с установлением личности",10
"Брянская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.43373494
"Брянская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-23.86117137
"Владимирская область","3_11","Всего разыскивалось лиц",1036
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",487
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",539
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске",167
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",149
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",13
"Владимирская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",138
"Владимирская область","3_11","Всего прекращено дел в связи с установлением личности",9
"Владимирская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-35.15625
"Владимирская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-23.23529412
"Воронежская область","3_11","Всего разыскивалось лиц",1008
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",357
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",577
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске",370
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",100
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",200
"Воронежская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",167
"Воронежская область","3_11","Всего прекращено дел в связи с установлением личности",6
"Воронежская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-18.47133758
"Воронежская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",5.949008499
"Ивановская область","3_11","Всего разыскивалось лиц",665
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",331
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",297
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске",156
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",124
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",11
"Ивановская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",87
"Ивановская область","3_11","Всего прекращено дел в связи с установлением личности",5
"Ивановская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-41.54727794
"Ивановская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-12.42236025
"Калужская область","3_11","Всего разыскивалось лиц",822
"Калужская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",477
