"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2015 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_11","Всего разыскивалось лиц",45291
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",22387
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",21712
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",21746
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",11111
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",9575
"Центральный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",17045
"Центральный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",1676
"Центральный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-21.2602459
"Центральный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-11.7564293
"Белгородская область","3_11","Всего разыскивалось лиц",1675
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",634
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1030
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске",1329
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",462
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",856
"Белгородская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",195
"Белгородская область","3_11","Всего прекращено дел в связи с установлением личности",64
"Белгородская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-28.63070539
"Белгородская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.239130435
"Брянская область","3_11","Всего разыскивалось лиц",2087
"Брянская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",720
"Брянская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1353
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске",1461
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",465
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",983
"Брянская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",139
"Брянская область","3_11","Всего прекращено дел в связи с установлением личности",72
"Брянская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-25.53846154
"Брянская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-25.58635394
"Владимирская область","3_11","Всего разыскивалось лиц",1585
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",923
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",637
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске",667
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",562
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",86
"Владимирская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",199
"Владимирская область","3_11","Всего прекращено дел в связи с установлением личности",47
"Владимирская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-32.87671233
"Владимирская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-21.13943028
"Воронежская область","3_11","Всего разыскивалось лиц",2693
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",751
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1655
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске",2010
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",476
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1251
"Воронежская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",205
"Воронежская область","3_11","Всего прекращено дел в связи с установлением личности",34
"Воронежская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-19.09090909
"Воронежская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",9.798270893
"Ивановская область","3_11","Всего разыскивалось лиц",1155
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",697
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",348
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске",626
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",481
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",48
"Ивановская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",118
"Ивановская область","3_11","Всего прекращено дел в связи с установлением личности",23
"Ивановская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-40.79320113
"Ивановская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.987220447
"Калужская область","3_11","Всего разыскивалось лиц",1254
"Калужская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",835
"Калужская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",388
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске",566
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",502
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",36
"Калужская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",435
"Калужская область","3_11","Всего прекращено дел в связи с установлением личности",21
"Калужская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-24.94172494
"Калужская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-16.62269129
"Костромская область","3_11","Всего разыскивалось лиц",614
"Костромская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",312
"Костромская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",302
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске",245
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",203
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",42
"Костромская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",63
"Костромская область","3_11","Всего прекращено дел в связи с установлением личности",9
"Костромская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-39.53488372
"Костромская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.323193916
"Курская область","3_11","Всего разыскивалось лиц",1732
"Курская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",650
"Курская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1046
"Курская область","3_11","Установлено лиц из числа находившихся в розыске",1341
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",470
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",838
"Курская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",63
"Курская область","3_11","Всего прекращено дел в связи с установлением личности",9
"Курская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-46.3190184
"Курская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-26.5917603
"Липецкая область","3_11","Всего разыскивалось лиц",827
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",575
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",252
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске",429
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",385
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",44
"Липецкая область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",71
"Липецкая область","3_11","Всего прекращено дел в связи с установлением личности",5
"Липецкая область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-21.66666667
"Липецкая область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-18.10699588
"г. Москва","3_11","Всего разыскивалось лиц",10514
"г. Москва","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",6580
"г. Москва","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3552
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске",2982
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1941
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",749
"г. Москва","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",10528
"г. Москва","3_11","Всего прекращено дел в связи с установлением личности",790
"г. Москва","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-0.406045567
"г. Москва","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",5.933202358
"Московская область","3_11","Всего разыскивалось лиц",8627
"Московская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",4773
"Московская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3843
"Московская область","3_11","Установлено лиц из числа находившихся в розыске",2345
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1941
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",395
