"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - июнь 2014 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_11","Всего разыскивалось лиц",36309
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",17477
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",17891
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",11881
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",5764
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",5304
"Центральный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",28310
"Центральный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",1159
"Центральный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-11.46156231
"Центральный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-4.176479824
"Белгородская область","3_11","Всего разыскивалось лиц",1154
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",383
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",762
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске",805
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",212
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",584
"Белгородская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",217
"Белгородская область","3_11","Всего прекращено дел в связи с установлением личности",79
"Белгородская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-34.73282443
"Белгородская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-2.747252747
"Брянская область","3_11","Всего разыскивалось лиц",1662
"Брянская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",592
"Брянская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1062
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске",902
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",286
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",609
"Брянская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",286
"Брянская область","3_11","Всего прекращено дел в связи с установлением личности",49
"Брянская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-8.176100629
"Брянская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-1.978021978
"Владимирская область","3_11","Всего разыскивалось лиц",1358
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",668
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",683
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске",348
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",288
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",56
"Владимирская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",674
"Владимирская область","3_11","Всего прекращено дел в связи с установлением личности",27
"Владимирская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-25.25252525
"Владимирская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.854984894
"Воронежская область","3_11","Всего разыскивалось лиц",1792
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",481
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1112
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске",1106
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",200
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",711
"Воронежская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",193
"Воронежская область","3_11","Всего прекращено дел в связи с установлением личности",17
"Воронежская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-16.41337386
"Воронежская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",4.985337243
"Ивановская область","3_11","Всего разыскивалось лиц",1012
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",576
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",340
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске",431
