"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2016 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_11","Всего разыскивалось лиц",43793
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",21768
"Центральный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",20815
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",20212
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",9838
"Центральный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",9294
"Центральный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",8093
"Центральный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",1312
"Центральный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-22.70930913
"Центральный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-16.39177675
"Белгородская область","3_11","Всего разыскивалось лиц",1610
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",601
"Белгородская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1001
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске",1233
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",399
"Белгородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",827
"Белгородская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",150
"Белгородская область","3_11","Всего прекращено дел в связи с установлением личности",31
"Белгородская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-16.18257261
"Белгородская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.782608696
"Брянская область","3_11","Всего разыскивалось лиц",1777
"Брянская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",657
"Брянская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1104
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске",1195
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",429
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",751
"Брянская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",95
"Брянская область","3_11","Всего прекращено дел в связи с установлением личности",33
"Брянская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-40.30769231
"Брянская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-30.2771855
"Владимирская область","3_11","Всего разыскивалось лиц",1497
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",889
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",592
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске",622
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",541
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",68
